UniProtID	Gene_name
Q99836	MYD88
P51617	IRAK1
O15111	IKKA
Q9NWZ3	IRAK4
P14778	IL1R1
Q9BQ95	ECSIT
O95163	ELP1
Q8N5C8	TAB3
Q9NPH3	IL1AP
Q99759	M3K3
Q06124	PTN11
Q15750	TAB1
O43318	M3K7
Q99558	M3K14
Q9H0E2	TOLIP
Q9Y2U5	M3K2
P45985	MP2K4
Q13404	UB2V1
Q13501	SQSTM
Q9Y6K9	NEMO
P27930	IL1R2
P78324	SHPS1
Q99704	DOK1
Q9Y616	IRAK3
O14920	IKKB
Q969U6	FBXW5
Q15653	IKBB
P18510	IL1RA
P25963	IKBA
Q96FA3	PELI1
O00459	P85B
O14733	MP2K7
Q04206	TF65
Q9Y4K3	TRAF6
O00743	PPP6
P01583	IL1A
P61088	UBE2N
Q9NYJ8	TAB2
P27986	P85A
Q9HAT8	PELI2
Q05513	KPCZ
P01584	IL1B
O43187	IRAK2
