UniProtID	Gene_name
P04049	RAF1
O43524	FOXO3
P01112	RASH
Q05397	FAK1
P06239	LCK
Q07889	SOS1
P32927	IL3RB
O14508	SOCS2
P40763	STAT3
P15498	VAV
Q02750	MP2K1
P07332	FES
P29353	SHC1
Q07817	B2CL1
P45983	MK08
P10276	RARA
P31946	1433B
P67775	PP2AA
P15976	GATA1
P18206	VINC
P43405	KSYK
Q06124	PTN11
P31749	AKT1
P08631	HCK
Q9UKJ0	PILRB
P05771	KPCB
P07948	LYN
Q13905	RPGF1
P27361	MK03
Q9NSE2	CISH
P08700	IL3
O60674	JAK2
Q99704	DOK1
Q05193	DYN1
P17612	KAPCA
Q9UQC2	GAB2
P49023	PAXI
P27348	1433T
P22681	CBL
Q92934	BAD
P30273	FCERG
P06241	FYN
Q13153	PAK1
P29350	PTN6
O14543	SOCS3
P23458	JAK1
O00459	P85B
Q13480	GAB1
P19793	RXRA
Q07812	BAX
P46108	CRK
P42680	TEC
P26951	IL3RA
O43521	B2L11
P62993	GRB2
P28482	MK01
P63104	1433Z
P16220	CREB1
P10415	BCL2
P63244	RACK1
P12931	SRC
P08575	PTPRC
P27986	P85A
P23769	GATA2
P51692	STA5B
P46109	CRKL
O00329	PK3CD
Q08209	PP2BA
Q92835	SHIP1
P42229	STA5A
