UniProtID	Gene_name
P04049	RAF1
O43524	FOXO3
P42336	PK3CA
P06239	LCK
P55884	EIF3B
Q07889	SOS1
P31785	IL2RG
P40763	STAT3
P15336	ATF2
P29353	SHC1
P15036	ETS2
P52333	JAK3
P45983	MK08
P42224	STAT1
P09327	VILI
Q92783	STAM1
P14784	IL2RB
P07900	HS90A
P05412	JUN
P43405	KSYK
Q06124	PTN11
P31749	AKT1
O75886	STAM2
Q14289	FAK2
P07948	LYN
P27361	MK03
Q9NSE2	CISH
O60674	JAK2
P60568	IL2
Q9NQ66	PLCB1
P14921	ETS1
Q9UQC2	GAB2
P40933	IL15
Q9Y287	ITM2B
Q15464	SHB
Q9Y4H2	IRS2
P22681	CBL
P06241	FYN
P23443	KS6B1
P42338	PK3CB
P29350	PTN6
O14543	SOCS3
P23458	JAK1
P24864	CCNE1
O00459	P85B
P48736	PK3CG
P42345	MTOR
P19419	ELK1
P24941	CDK2
P46108	CRK
O15524	SOCS1
P01589	IL2RA
O14746	TERT
P62993	GRB2
P28482	MK01
P10415	BCL2
P35568	IRS1
P27986	P85A
P04150	GCR
P46109	CRKL
Q92569	P55G
Q05513	KPCZ
P51692	STA5B
O00329	PK3CD
P62753	RS6
Q13287	NMI
P42229	STA5A
