Gene_1	Gene_2
NOCT	NPY2R
CXCL9	NPY2R
GNAI2	NPY2R
TAS2R41	NPY2R
PRKDC	NPY2R
NPW	NPY2R
C3	NPY2R
GCN1	NPY2R
TAS2R30	NPY2R
CXCR1	NPY2R
GNA12	NPY2R
PMCH	NPY2R
CCR8	NPY2R
CXCL5	NPY2R
APLN	NPY2R
TAS2R60	NPY2R
HCAR1	NPY2R
CXCL1	NPY2R
TAS2R4	NPY2R
XPO1	NPY2R
TAS2R10	NPY2R
CIP2A	NPY2R
EXOC8	NPY2R
GPR55	NPY2R
TPR	NPY2R
C5AR1	NPY2R
CXCL11	NPY2R
TAS2R5	NPY2R
BDKRB2	NPY2R
GAL	NPY2R
CXCR3	NPY2R
INTS1	NPY2R
GNAZ	NPY2R
TRAPPC5	NPY2R
SSTR3	NPY2R
DRD4	NPY2R
HRH3	NPY2R
SLC25A17	NPY2R
PAM16	NPY2R
CASR	NPY2R
TUBGCP2	NPY2R
OPRK1	NPY2R
FLT4	NPY2R
SSTR5	NPY2R
TAS2R42	NPY2R
FASTKD3	NPY2R
PNOC	NPY2R
TAS2R39	NPY2R
EXOC5	NPY2R
DNAAF5	NPY2R
PYY	NPY2R
CXCR2	NPY2R
ARFGEF3	NPY2R
ACAD10	NPY2R
TAS2R45	NPY2R
ORMDL2	NPY2R
INTS5	NPY2R
BTAF1	NPY2R
HRH4	NPY2R
TAS2R1	NPY2R
GPD2	NPY2R
SLC35F1	NPY2R
CCR6	TAS2R38
SSTR4	TAS2R38
P2RY4	TAS2R38
HTR1B	TAS2R38
GNAI1	TAS2R38
ADCY9	TAS2R38
ARHGEF12	TAS2R38
NPB	TAS2R38
LPAR3	TAS2R38
PF4	TAS2R38
RXFP4	TAS2R38
ADORA1	TAS2R38
SSTR1	TAS2R38
CXCL13	TAS2R38
HTR1E	TAS2R38
S1PR3	TAS2R38
MTNR1A	TAS2R38
PDYN	TAS2R38
POMC	TAS2R38
CXCR4	TAS2R38
ADORA2A	TAS2R38
HTR1A	TAS2R38
SSTR2	TAS2R38
CCR10	TAS2R38
HCAR2	TAS2R38
CCL21	TAS2R38
AGTR1	TAS2R38
OPRD1	TAS2R38
CXCL10	TAS2R38
HCAR3	TAS2R38
ADORA2B	TAS2R38
GRM7	TAS2R38
CCL16	TAS2R38
GPR17	TAS2R38
GNG2	TAS2R38
PIK3R6	TAS2R38
P2RY12	TAS2R38
DRD3	TAS2R38
PLCB1	TAS2R38
NPBWR2	TAS2R38
C5	TAS2R38
PLCB3	TAS2R38
SUCNR1	TAS2R38
CXCL12	TAS2R38
GNAT3	TAS2R38
HTR5A	TAS2R38
PLCB2	TAS2R38
GPR18	TAS2R38
ADCY1	TAS2R38
ADCY2	TAS2R38
OXGR1	TAS2R38
PTGDR2	TAS2R38
ADCY4	TAS2R38
GPER1	TAS2R38
ADCY7	TAS2R38
SAA1	TAS2R38
HTR1F	TAS2R38
GRM8	TAS2R38
NPY4R	TAS2R38
NPW	TAS2R38
C3	TAS2R38
CXCR1	TAS2R38
GNA12	TAS2R38
PMCH	TAS2R38
CCR8	TAS2R38
HCAR1	TAS2R38
CXCL1	TAS2R38
GALR1	TAS2R38
GALR3	TAS2R38
CXCL11	TAS2R38
S1PR5	TAS2R38
CCR6	PYY
SSTR4	PYY
HTR1D	PYY
P2RY4	PYY
HTR1B	PYY
GNAI1	PYY
ADCY9	PYY
ANXA1	PYY
ARHGEF12	PYY
CCR1	PYY
NPB	PYY
LPAR3	PYY
PF4	PYY
RXFP4	PYY
ADORA1	PYY
ADCY3	PYY
AGTR2	PYY
SSTR1	PYY
CXCL13	PYY
HTR1E	PYY
S1PR3	PYY
MTNR1A	PYY
MEP1B	PYY
P2RY13	PYY
PDYN	PYY
POMC	PYY
MCHR2	PYY
TAS2R20	PYY
XPNPEP3	PYY
CXCR4	PYY
ADORA2A	PYY
GALR2	PYY
HTR1A	PYY
NPY5R	PYY
SSTR2	PYY
RLN3	PYY
CCR10	PYY
HCAR2	PYY
CCL21	PYY
TAS2R19	PYY
TAS2R31	PYY
AGTR1	PYY
OPRD1	PYY
CXCL10	PYY
HCAR3	PYY
ADORA2B	PYY
GRM7	PYY
CCL16	PYY
TAS2R43	PYY
OPRM1	PYY
TAS2R46	PYY
CCL25	PYY
GPR17	PYY
DPP4	PYY
GNG2	PYY
PIK3R6	PYY
TAS2R40	PYY
P2RY12	PYY
DRD3	PYY
CXCL3	PYY
PLCB1	PYY
NPBWR2	PYY
C5	PYY
TAS2R50	PYY
PLCB3	PYY
ACKR3	PYY
SUCNR1	PYY
TAS2R8	PYY
CXCL12	PYY
TAS2R16	PYY
GNAT3	PYY
CNR1	PYY
HTR5A	PYY
NMUR2	PYY
PLCB2	PYY
TAS2R9	PYY
CCR5	PYY
CCR2	PYY
GPR18	PYY
ADCY1	PYY
APLNR	PYY
MTNR1B	PYY
RXFP3	PYY
TAS2R13	PYY
ADCY2	PYY
OXGR1	PYY
TMIGD3	PYY
GNAI3	PYY
PTGDR2	PYY
ADCY4	PYY
GPER1	PYY
PPBP	PYY
PLXDC2	PYY
SGTA	PYY
ADCY7	PYY
MCHR1	PYY
NMUR1	PYY
SAA1	PYY
HTR1F	PYY
TAS2R38	PYY
GRM8	PYY
SST	PYY
NPY4R	PYY
CXCL9	PYY
GNAI2	PYY
TAS2R41	PYY
NPW	PYY
C3	PYY
ADRA2A	PYY
TAS2R30	PYY
CXCR1	PYY
GNA12	PYY
PMCH	PYY
CCR8	PYY
CXCL5	PYY
APLN	PYY
TAS2R60	PYY
HCAR1	PYY
CXCL1	PYY
TAS2R4	PYY
TAS2R10	PYY
GALR1	PYY
LPAR2	PYY
GPR55	PYY
C5AR1	PYY
GALR3	PYY
CXCL11	PYY
TAS2R5	PYY
BDKRB2	PYY
S1PR5	PYY
CXCR3	PYY
GRM6	PYY
GNAZ	PYY
SSTR3	PYY
DRD4	PYY
HRH3	PYY
S1PR1	PYY
OXER1	PYY
OPRK1	PYY
GRM2	PYY
SSTR5	PYY
TAS2R42	PYY
PNOC	PYY
TAS2R39	PYY
ADRA2C	PYY
FAP	PYY
CXCR2	PYY
TAS2R45	PYY
TAS2R1	PYY
GUCA2B	PYY
CCR6	HTR1D
SSTR4	HTR1D
P2RY4	HTR1D
HTR1B	HTR1D
GNAI1	HTR1D
ADCY9	HTR1D
ANXA1	HTR1D
ARHGEF12	HTR1D
CCR1	HTR1D
NPB	HTR1D
LPAR3	HTR1D
PF4	HTR1D
RXFP4	HTR1D
ADORA1	HTR1D
ADCY3	HTR1D
SSTR1	HTR1D
CXCL13	HTR1D
S1PR3	HTR1D
MTNR1A	HTR1D
P2RY13	HTR1D
PDYN	HTR1D
POMC	HTR1D
MCHR2	HTR1D
TAS2R20	HTR1D
CXCR4	HTR1D
ADORA2A	HTR1D
PPY	HTR1D
GALR2	HTR1D
HTR1A	HTR1D
NPY5R	HTR1D
SSTR2	HTR1D
RLN3	HTR1D
CCR10	HTR1D
HCAR2	HTR1D
CCL21	HTR1D
TAS2R19	HTR1D
TAS2R31	HTR1D
AGTR1	HTR1D
OPRD1	HTR1D
CXCL10	HTR1D
HCAR3	HTR1D
ADORA2B	HTR1D
GRM7	HTR1D
CCL16	HTR1D
TAS2R43	HTR1D
OPRM1	HTR1D
TAS2R46	HTR1D
CCL25	HTR1D
GPR17	HTR1D
GNG2	HTR1D
PIK3R6	HTR1D
TAS2R40	HTR1D
P2RY12	HTR1D
DRD3	HTR1D
CXCL3	HTR1D
PLCB1	HTR1D
NPBWR2	HTR1D
C5	HTR1D
PLCB3	HTR1D
ACKR3	HTR1D
SUCNR1	HTR1D
TAS2R8	HTR1D
CXCL12	HTR1D
GNAT3	HTR1D
CNR1	HTR1D
NMUR2	HTR1D
PLCB2	HTR1D
TAS2R9	HTR1D
CCR5	HTR1D
CCR2	HTR1D
GPR18	HTR1D
ADCY1	HTR1D
APLNR	HTR1D
RXFP3	HTR1D
TAS2R13	HTR1D
ADCY2	HTR1D
OXGR1	HTR1D
TMIGD3	HTR1D
GNAI3	HTR1D
PTGDR2	HTR1D
ADCY4	HTR1D
GPER1	HTR1D
PPBP	HTR1D
ADCY7	HTR1D
MCHR1	HTR1D
SAA1	HTR1D
TAS2R38	HTR1D
GRM8	HTR1D
SST	HTR1D
NPY4R	HTR1D
GNAI2	HTR1D
TAS2R41	HTR1D
NPW	HTR1D
C3	HTR1D
TAS2R30	HTR1D
CXCR1	HTR1D
GNA12	HTR1D
PMCH	HTR1D
CCR8	HTR1D
CXCL5	HTR1D
TAS2R60	HTR1D
HCAR1	HTR1D
CXCL1	HTR1D
TAS2R4	HTR1D
TAS2R10	HTR1D
GALR1	HTR1D
GALR3	HTR1D
CXCL11	HTR1D
TAS2R5	HTR1D
S1PR5	HTR1D
CXCR3	HTR1D
GNAZ	HTR1D
SSTR3	HTR1D
S1PR1	HTR1D
OXER1	HTR1D
GRM2	HTR1D
TAS2R42	HTR1D
CCR6	OPRK1
SSTR4	OPRK1
HTR1D	OPRK1
P2RY4	OPRK1
HTR1B	OPRK1
GNAI1	OPRK1
ADCY9	OPRK1
ANXA1	OPRK1
ARHGEF12	OPRK1
CCR1	OPRK1
NPB	OPRK1
LPAR3	OPRK1
PF4	OPRK1
RXFP4	OPRK1
ADORA1	OPRK1
SLC9A3R1	OPRK1
ADCY3	OPRK1
AGTR2	OPRK1
SSTR1	OPRK1
CXCL13	OPRK1
HTR1E	OPRK1
S1PR3	OPRK1
MTNR1A	OPRK1
AUP1	OPRK1
P2RY13	OPRK1
PDYN	OPRK1
POMC	OPRK1
MCHR2	OPRK1
TAS2R20	OPRK1
CXCR4	OPRK1
ADORA2A	OPRK1
PPY	OPRK1
GALR2	OPRK1
HTR1A	OPRK1
NPY5R	OPRK1
SSTR2	OPRK1
RLN3	OPRK1
CCR10	OPRK1
HCAR2	OPRK1
CCL21	OPRK1
TAS2R19	OPRK1
TAS2R31	OPRK1
AGTR1	OPRK1
OPRD1	OPRK1
CXCL10	OPRK1
HCAR3	OPRK1
ADORA2B	OPRK1
GRM7	OPRK1
CCL16	OPRK1
TAS2R43	OPRK1
SIAH1	OPRK1
TAS2R46	OPRK1
CCL25	OPRK1
GPR17	OPRK1
GNG2	OPRK1
PIK3R6	OPRK1
TAS2R40	OPRK1
P2RY12	OPRK1
DRD3	OPRK1
CXCL3	OPRK1
PLCB1	OPRK1
GABARAP	OPRK1
NPBWR2	OPRK1
C5	OPRK1
TAS2R50	OPRK1
PLCB3	OPRK1
ACKR3	OPRK1
SUCNR1	OPRK1
TAS2R8	OPRK1
CXCL12	OPRK1
TAS2R16	OPRK1
GNAT3	OPRK1
CNR1	OPRK1
HTR5A	OPRK1
NMUR2	OPRK1
PLCB2	OPRK1
TAS2R9	OPRK1
GNA15	OPRK1
VAPA	OPRK1
CCR5	OPRK1
CCR2	OPRK1
GPR18	OPRK1
ADCY1	OPRK1
APLNR	OPRK1
MTNR1B	OPRK1
RXFP3	OPRK1
TAS2R13	OPRK1
ADCY2	OPRK1
OXGR1	OPRK1
TMIGD3	OPRK1
GNAI3	OPRK1
PTGDR2	OPRK1
ADCY4	OPRK1
GPER1	OPRK1
SIAH2	OPRK1
PPBP	OPRK1
ADCY7	OPRK1
MCHR1	OPRK1
SAA1	OPRK1
HTR1F	OPRK1
TAS2R38	OPRK1
GRM8	OPRK1
SST	OPRK1
GPRASP1	OPRK1
NPY4R	OPRK1
CXCL9	OPRK1
GNAI2	OPRK1
TAS2R41	OPRK1
NPW	OPRK1
C3	OPRK1
ADRA2A	OPRK1
TAS2R30	OPRK1
CXCR1	OPRK1
GNA12	OPRK1
PMCH	OPRK1
CCR8	OPRK1
CXCL5	OPRK1
APLN	OPRK1
TAS2R60	OPRK1
HCAR1	OPRK1
CXCL1	OPRK1
TAS2R4	OPRK1
TAS2R10	OPRK1
GALR1	OPRK1
LPAR2	OPRK1
GPR55	OPRK1
C5AR1	OPRK1
GALR3	OPRK1
CXCL11	OPRK1
TAS2R5	OPRK1
BDKRB2	OPRK1
S1PR5	OPRK1
CXCR3	OPRK1
GRM6	OPRK1
GNAZ	OPRK1
SSTR3	OPRK1
DRD4	OPRK1
HRH3	OPRK1
S1PR1	OPRK1
OXER1	OPRK1
GRM2	OPRK1
SSTR5	OPRK1
TAS2R42	OPRK1
PNOC	OPRK1
TAS2R39	OPRK1
ADRA2C	OPRK1
GJA4	OPRK1
CXCR2	OPRK1
TAS2R1	OPRK1
CCR6	BDKRB1
SSTR4	BDKRB1
HTR1D	BDKRB1
GHRL	BDKRB1
P2RY4	BDKRB1
GHSR	BDKRB1
EDN2	BDKRB1
HTR1B	BDKRB1
GNAI1	BDKRB1
P2RY1	BDKRB1
ADCY9	BDKRB1
ANXA1	BDKRB1
GRM5	BDKRB1
ARHGEF12	BDKRB1
CCR1	BDKRB1
NPB	BDKRB1
GCG	BDKRB1
XCL1	BDKRB1
LPAR3	BDKRB1
PF4	BDKRB1
RXFP4	BDKRB1
GRP	BDKRB1
PTAFR	BDKRB1
ADORA1	BDKRB1
ADCY3	BDKRB1
PTGER1	BDKRB1
AGTR2	BDKRB1
CCK	BDKRB1
SSTR1	BDKRB1
CXCL13	BDKRB1
HTR1E	BDKRB1
S1PR3	BDKRB1
MTNR1A	BDKRB1
CCR9	BDKRB1
P2RY13	BDKRB1
TRAM1L1	BDKRB1
PDYN	BDKRB1
POMC	BDKRB1
MCHR2	BDKRB1
TAS2R20	BDKRB1
CXCR4	BDKRB1
ADORA2A	BDKRB1
PPY	BDKRB1
GALR2	BDKRB1
NMB	BDKRB1
HTR1A	BDKRB1
NPY5R	BDKRB1
PROK2	BDKRB1
SSTR2	BDKRB1
TRHR	BDKRB1
RLN3	BDKRB1
CCR10	BDKRB1
HCAR2	BDKRB1
CCL21	BDKRB1
HCRTR2	BDKRB1
GNRH1	BDKRB1
TAS2R19	BDKRB1
UTS2B	BDKRB1
TAS2R31	BDKRB1
GNRHR	BDKRB1
AGTR1	BDKRB1
OPRD1	BDKRB1
CXCL10	BDKRB1
HCAR3	BDKRB1
ADORA2B	BDKRB1
HTR2B	BDKRB1
GRM7	BDKRB1
GPR4	BDKRB1
CCL16	BDKRB1
TAS2R43	BDKRB1
PROKR2	BDKRB1
OPRM1	BDKRB1
TAS2R46	BDKRB1
CCL25	BDKRB1
TRIO	BDKRB1
UQCRC1	BDKRB1
GPR17	BDKRB1
EDNRA	BDKRB1
F2RL3	BDKRB1
GNG2	BDKRB1
PIK3R6	BDKRB1
TAS2R40	BDKRB1
P2RY12	BDKRB1
LPAR6	BDKRB1
CXCL16	BDKRB1
DRD3	BDKRB1
GRPR	BDKRB1
GNRH2	BDKRB1
CXCL3	BDKRB1
PLCB1	BDKRB1
NPBWR2	BDKRB1
C5	BDKRB1
TAS2R50	BDKRB1
PLCB3	BDKRB1
ACKR3	BDKRB1
SUCNR1	BDKRB1
UTS2R	BDKRB1
F2RL2	BDKRB1
TAS2R8	BDKRB1
HHATL	BDKRB1
CXCL12	BDKRB1
TAS2R16	BDKRB1
GNAT3	BDKRB1
CNR1	BDKRB1
HTR5A	BDKRB1
NMUR2	BDKRB1
PTGER3	BDKRB1
CYSLTR2	BDKRB1
AVP	BDKRB1
PLCB2	BDKRB1
TAS2R9	BDKRB1
GNA15	BDKRB1
HTR2C	BDKRB1
OPN4	BDKRB1
TAC1	BDKRB1
CCR5	BDKRB1
CCR2	BDKRB1
GPR18	BDKRB1
ADCY1	BDKRB1
GCGR	BDKRB1
APLNR	BDKRB1
MTNR1B	BDKRB1
HTT	BDKRB1
P2RY6	BDKRB1
AVPR1A	BDKRB1
GNA14	BDKRB1
QRFP	BDKRB1
TBXA2R	BDKRB1
RXFP3	BDKRB1
P2RY2	BDKRB1
TAS2R13	BDKRB1
ADCY2	BDKRB1
MLN	BDKRB1
NPFF	BDKRB1
OXGR1	BDKRB1
TMIGD3	BDKRB1
LTB4R	BDKRB1
GNAI3	BDKRB1
PTGDR2	BDKRB1
ADCY4	BDKRB1
LTB4R2	BDKRB1
GPER1	BDKRB1
CCKAR	BDKRB1
NTSR2	BDKRB1
PPBP	BDKRB1
HRH1	BDKRB1
NPFFR2	BDKRB1
CHRM4	BDKRB1
GPRC6A	BDKRB1
TACR2	BDKRB1
PROKR1	BDKRB1
NPSR1	BDKRB1
KALRN	BDKRB1
OXT	BDKRB1
ADCY7	BDKRB1
MCHR1	BDKRB1
NMUR1	BDKRB1
SAA1	BDKRB1
NPS	BDKRB1
HTR1F	BDKRB1
C1orf43	BDKRB1
TAS2R38	BDKRB1
GRM8	BDKRB1
P2RY11	BDKRB1
SST	BDKRB1
TACR1	BDKRB1
F2RL1	BDKRB1
PLCB4	BDKRB1
NPY4R	BDKRB1
P2RY10	BDKRB1
CXCL9	BDKRB1
GNAI2	BDKRB1
F2	BDKRB1
TAS2R41	BDKRB1
TMX2	BDKRB1
NPW	BDKRB1
RAE1	BDKRB1
C3	BDKRB1
ADRA2A	BDKRB1
TAS2R30	BDKRB1
CXCR1	BDKRB1
GNA12	BDKRB1
FFAR1	BDKRB1
PMCH	BDKRB1
LPAR4	BDKRB1
CCR8	BDKRB1
MLNR	BDKRB1
CXCL5	BDKRB1
QRFPR	BDKRB1
APLN	BDKRB1
GPR132	BDKRB1
TAS2R60	BDKRB1
HCAR1	BDKRB1
CXCL1	BDKRB1
TAS2R4	BDKRB1
HCRTR1	BDKRB1
GRK5	BDKRB1
NTSR1	BDKRB1
NDFIP1	BDKRB1
NTS	BDKRB1
MBOAT7	BDKRB1
TAS2R10	BDKRB1
EDNRB	BDKRB1
UTS2	BDKRB1
GALR1	BDKRB1
NMBR	BDKRB1
LPAR2	BDKRB1
GNA11	BDKRB1
GPR68	BDKRB1
GPR55	BDKRB1
C5AR1	BDKRB1
KNG1	BDKRB1
GALR3	BDKRB1
CXCL11	BDKRB1
TAS2R5	BDKRB1
GAL	BDKRB1
S1PR5	BDKRB1
CXCR3	BDKRB1
GRM6	BDKRB1
HCRT	BDKRB1
CHRM1	BDKRB1
GNAZ	BDKRB1
XCL2	BDKRB1
ADRA1B	BDKRB1
SSTR3	BDKRB1
DRD4	BDKRB1
HRH3	BDKRB1
ADRA2B	BDKRB1
LAPTM4B	BDKRB1
EDN3	BDKRB1
CYSLTR1	BDKRB1
TACR3	BDKRB1
TMEM42	BDKRB1
S1PR1	BDKRB1
OXER1	BDKRB1
TAS2R7	BDKRB1
CASR	BDKRB1
XCR1	BDKRB1
GRIN1	BDKRB1
S1PR4	BDKRB1
OPRK1	BDKRB1
TRH	BDKRB1
NPFFR1	BDKRB1
GRM2	BDKRB1
PTGFR	BDKRB1
SSTR5	BDKRB1
TAS2R42	BDKRB1
RETREG1	BDKRB1
KISS1R	BDKRB1
CCKBR	BDKRB1
PROK1	BDKRB1
PNOC	BDKRB1
TAS2R39	BDKRB1
ADRA2C	BDKRB1
HTR2A	BDKRB1
CXCL6	BDKRB1
PYY	BDKRB1
EDN1	BDKRB1
DNAJB1	BDKRB1
FPR1	BDKRB1
CXCR2	BDKRB1
LRRC4C	BDKRB1
OPRL1	BDKRB1
HILPDA	BDKRB1
GPR65	BDKRB1
TAS2R45	BDKRB1
SLC6A8	BDKRB1
GNRHR2	BDKRB1
RTN4	BDKRB1
AVPR1B	BDKRB1
SLC44A2	BDKRB1
TRAT1	BDKRB1
SLC39A14	BDKRB1
LPAR5	BDKRB1
HRH4	BDKRB1
TAS2R1	BDKRB1
MT-RNR2	BDKRB1
ADRA1A	BDKRB1
NAGPA	BDKRB1
TAS2R14	BDKRB1
ARHGEF25	BDKRB1
NPY2R	BDKRB1
ADCY6	BDKRB1
SLC25A28	BDKRB1
KISS1	BDKRB1
PIK3CA	BDKRB1
OAZ2	BDKRB1
CERS1	BDKRB1
GRM1	BDKRB1
CCR6	OPRM1
LRRC25	OPRM1
SSTR4	OPRM1
P2RY4	OPRM1
HTR1B	OPRM1
GNAI1	OPRM1
ADCY9	OPRM1
ARHGEF12	OPRM1
CCR1	OPRM1
NPB	OPRM1
LPAR3	OPRM1
PF4	OPRM1
RXFP4	OPRM1
ADORA1	OPRM1
MAL	OPRM1
SSTR1	OPRM1
CXCL13	OPRM1
HTR1E	OPRM1
S1PR3	OPRM1
MTNR1A	OPRM1
AUP1	OPRM1
ZYX	OPRM1
PDYN	OPRM1
POMC	OPRM1
MCHR2	OPRM1
TAS2R20	OPRM1
CXCR4	OPRM1
ADORA2A	OPRM1
PPY	OPRM1
GALR2	OPRM1
HTR1A	OPRM1
TRARG1	OPRM1
NPY5R	OPRM1
SSTR2	OPRM1
RLN3	OPRM1
CCR10	OPRM1
HCAR2	OPRM1
CCL21	OPRM1
TAS2R19	OPRM1
TAS2R31	OPRM1
AGTR1	OPRM1
CXCL10	OPRM1
HCAR3	OPRM1
ADORA2B	OPRM1
GRM7	OPRM1
CCL16	OPRM1
TAS2R43	OPRM1
SIAH1	OPRM1
NELFA	OPRM1
TAS2R46	OPRM1
CCL25	OPRM1
GPR17	OPRM1
GNG2	OPRM1
PIK3R6	OPRM1
TAS2R40	OPRM1
P2RY12	OPRM1
DRD3	OPRM1
PLCB1	OPRM1
NPBWR2	OPRM1
C5	OPRM1
PLCB3	OPRM1
ACKR3	OPRM1
SUCNR1	OPRM1
TAS2R8	OPRM1
CXCL12	OPRM1
GNAT3	OPRM1
CNR1	OPRM1
HTR5A	OPRM1
NMUR2	OPRM1
TEX264	OPRM1
PLCB2	OPRM1
TAS2R9	OPRM1
VAPA	OPRM1
CCR2	OPRM1
GPR18	OPRM1
ADCY1	OPRM1
APLNR	OPRM1
TAS2R13	OPRM1
ADCY2	OPRM1
OXGR1	OPRM1
TMIGD3	OPRM1
GNAI3	OPRM1
PTGDR2	OPRM1
ADCY4	OPRM1
GPER1	OPRM1
SIAH2	OPRM1
PPBP	OPRM1
CTXN3	OPRM1
PMP22	OPRM1
ADCY7	OPRM1
MCHR1	OPRM1
SAA1	OPRM1
HS6ST1	OPRM1
HTR1F	OPRM1
TAS2R38	OPRM1
SLC41A1	OPRM1
GRM8	OPRM1
SST	OPRM1
GPRASP1	OPRM1
NPY4R	OPRM1
GNAI2	OPRM1
GNAT2	OPRM1
TAS2R41	OPRM1
NPW	OPRM1
C3	OPRM1
TAS2R30	OPRM1
CXCR1	OPRM1
GNA12	OPRM1
PMCH	OPRM1
RPRM	OPRM1
CCR8	OPRM1
CXCL5	OPRM1
TAS2R60	OPRM1
HCAR1	OPRM1
CXCL1	OPRM1
TAS2R4	OPRM1
CCDC167	OPRM1
TAS2R10	OPRM1
GALR1	OPRM1
GALR3	OPRM1
CXCL11	OPRM1
TAS2R5	OPRM1
EMP1	OPRM1
S1PR5	OPRM1
CXCR3	OPRM1
IFITM3	OPRM1
RTP4	OPRM1
SLC30A2	OPRM1
S1PR1	OPRM1
SLC38A7	OPRM1
TM4SF4	OPRM1
SMAGP	OPRM1
SLC9A9	OPRM1
GJA4	OPRM1
KCNF1	OPRM1
SCGB1D1	OPRM1
CPLX1	OPRM1
DOK5	OPRM1
SLC39A13	OPRM1
CLDN22	OPRM1
TMEM236	OPRM1
TCTN2	OPRM1
CCR6	SLC9A1
PTGIR	SLC9A1
NRAS	SLC9A1
LAMP3	SLC9A1
RHOB	SLC9A1
YWHAB	SLC9A1
FNDC5	SLC9A1
SEC61B	SLC9A1
TMPRSS4	SLC9A1
ST7	SLC9A1
RHOQ	SLC9A1
ATP2A1	SLC9A1
RHOD	SLC9A1
RND2	SLC9A1
EMD	SLC9A1
HSPA4	SLC9A1
RHOH	SLC9A1
RPN1	SLC9A1
RAB35	SLC9A1
IGF2R	SLC9A1
GALNT6	SLC9A1
HSD3B7	SLC9A1
RHOG	SLC9A1
UBE2I	SLC9A1
FAXC	SLC9A1
TMPRSS11B	SLC9A1
ARF6	SLC9A1
PTGFRN	SLC9A1
OTULINL	SLC9A1
GPR151	SLC9A1
BCAP31	SLC9A1
TTMP	SLC9A1
ROCK1	SLC9A1
TESC	SLC9A1
MAPK1	SLC9A1
LYVE1	SLC9A1
IPPK	SLC9A1
DGCR2	SLC9A1
SLC22A2	SLC9A1
RHOF	SLC9A1
SLC20A1	SLC9A1
GALNT7	SLC9A1
MAP3K14	SLC9A1
GJD3	SLC9A1
LRRC55	SLC9A1
HYAL2	SLC9A1
FUT1	SLC9A1
CD44	SLC9A1
HMMR	SLC9A1
CA2	SLC9A1
SEC62	SLC9A1
IL2RA	SLC9A1
SLCO4C1	SLC9A1
AOC3	SLC9A1
STAB2	SLC9A1
HTR3B	SLC9A1
MAP3K7	SLC9A1
CHP2	SLC9A1
SLCO6A1	SLC9A1
LHFPL4	SLC9A1
MAP4K4	SLC9A1
PPP3CB	SLC9A1
CCR6	CHRM4
SSTR4	CHRM4
HTR1D	CHRM4
P2RY4	CHRM4
HTR1B	CHRM4
GNAI1	CHRM4
ADCY9	CHRM4
ANXA1	CHRM4
ARHGEF12	CHRM4
CCR1	CHRM4
NPB	CHRM4
LPAR3	CHRM4
PF4	CHRM4
RXFP4	CHRM4
ADORA1	CHRM4
ADCY3	CHRM4
AGTR2	CHRM4
SSTR1	CHRM4
CXCL13	CHRM4
HTR1E	CHRM4
S1PR3	CHRM4
MTNR1A	CHRM4
P2RY13	CHRM4
PDYN	CHRM4
POMC	CHRM4
MCHR2	CHRM4
TAS2R20	CHRM4
CXCR4	CHRM4
ADORA2A	CHRM4
PPY	CHRM4
GALR2	CHRM4
HTR1A	CHRM4
NPY5R	CHRM4
ATP5F1B	CHRM4
SSTR2	CHRM4
RLN3	CHRM4
CCR10	CHRM4
USP24	CHRM4
HCAR2	CHRM4
CCL21	CHRM4
QSOX1	CHRM4
TAS2R19	CHRM4
TAS2R31	CHRM4
AGTR1	CHRM4
OPRD1	CHRM4
CXCL10	CHRM4
HCAR3	CHRM4
ADORA2B	CHRM4
GRM7	CHRM4
CCL16	CHRM4
TAS2R43	CHRM4
OPRM1	CHRM4
TAS2R46	CHRM4
CCL25	CHRM4
GPR17	CHRM4
TUBA1A	CHRM4
GNG2	CHRM4
PIK3R6	CHRM4
TAS2R40	CHRM4
GEMIN2	CHRM4
P2RY12	CHRM4
DRD3	CHRM4
CXCL3	CHRM4
MFSD4A	CHRM4
RAB3B	CHRM4
PLCB1	CHRM4
NPBWR2	CHRM4
C5	CHRM4
TAS2R50	CHRM4
PLCB3	CHRM4
ACKR3	CHRM4
SUCNR1	CHRM4
TAS2R8	CHRM4
CXCL12	CHRM4
TAS2R16	CHRM4
GNAT3	CHRM4
CNR1	CHRM4
HTR5A	CHRM4
NMUR2	CHRM4
SLC25A6	CHRM4
LPCAT3	CHRM4
PLCB2	CHRM4
TAS2R9	CHRM4
HTR2C	CHRM4
CCR5	CHRM4
CCR2	CHRM4
GPR18	CHRM4
ADCY1	CHRM4
APLNR	CHRM4
MTNR1B	CHRM4
RXFP3	CHRM4
TAS2R13	CHRM4
ADCY2	CHRM4
OXGR1	CHRM4
TMIGD3	CHRM4
GNAI3	CHRM4
PTGDR2	CHRM4
KNTC1	CHRM4
ADCY4	CHRM4
GPER1	CHRM4
PPBP	CHRM4
PDS5B	CHRM4
TUBB3	CHRM4
ADCY7	CHRM4
MCHR1	CHRM4
NMUR1	CHRM4
SAA1	CHRM4
HTR1F	CHRM4
TAS2R38	CHRM4
GRM8	CHRM4
SST	CHRM4
GPRASP1	CHRM4
PPP6R1	CHRM4
NPY4R	CHRM4
CXCL9	CHRM4
GNAI2	CHRM4
IPO9	CHRM4
TAS2R41	CHRM4
NPW	CHRM4
C3	CHRM4
ADRA2A	CHRM4
GCN1	CHRM4
TAS2R30	CHRM4
CXCR1	CHRM4
GNA12	CHRM4
PMCH	CHRM4
CCR8	CHRM4
CXCL5	CHRM4
APLN	CHRM4
TAS2R60	CHRM4
