Gene_1	Gene_2
APC	DVL1
WWTR1	DVL1
DCTN1	DVL1
KIAA0753	DVL1
SMAD7	DVL1
SDC4	DVL1
XPO1	DVL1
AGPS	DVL1
IFITM1	DVL1
SCYL2	DVL1
FZD7	DVL1
CCP110	DVL1
ANKFY1	DVL1
MLH3	DVL1
RYK	DVL1
DAAM1	DVL1
ATN1	DVL1
SMYD1	DVL1
FLNB	DVL1
FZD4	DVL1
TSC2	DVL1
NKD2	DVL1
CEP128	DVL1
RASSF10	DVL1
PI4K2A	DVL1
FRAT1	DVL1
FZD1	DVL1
ARHGEF19	DVL1
CCDC88C	DVL1
FZD3	DVL1
DCDC2	DVL1
FZD2	C15orf32
NPC1	C15orf32
SPPL2B	C15orf32
ASIC1	C15orf32
DISP1	C15orf32
DIPK1A	C15orf32
PKD2	C15orf32
MBTPS2	C15orf32
PIGS	C15orf32
DPY19L4	C15orf32
MRC2	PATE1
HSPA5	PATE1
EGFR	PATE1
ADAM9	PATE1
TXNDC15	PATE1
TUBB8	PATE1
JAG2	PATE1
CTBS	PATE1
SORL1	PATE1
ZZEF1	PATE1
INCA1	PATE1
SCARB1	PATE1
CNTNAP3	PATE1
HECTD3	PATE1
CHST10	PATE1
REL	PATE1
ADAM21	PATE1
MANBA	PATE1
PDIA5	PATE1
GLG1	PATE1
CTSF	PATE1
M6PR	PATE1
LRP11	PATE1
MRC2	PALB2
NEK7	PALB2
SLFN11	PALB2
USP22	PALB2
RAD51	PALB2
MORF4L1	PALB2
XRCC3	PALB2
MORF4L2	PALB2
PRDM14	PALB2
BRCA2	PALB2
MRGBP	PALB2
LRATD2	PALB2
RAD51AP1	PALB2
MRC2	HLA-G
CTSS	HLA-G
TTC17	HLA-G
STAT1	HLA-G
OLFM2	HLA-G
CHST14	HLA-G
DNAJC16	HLA-G
HLA-DQB1	HLA-G
CD3E	HLA-G
IRF9	HLA-G
TMEM39A	HLA-G
LMF1	HLA-G
LILRB1	HLA-G
P4HTM	HLA-G
CLSTN3	HLA-G
SEC24A	HLA-G
HS2ST1	HLA-G
SGCB	HLA-G
SLC39A6	HLA-G
TRAC	HLA-G
DIPK2A	HLA-G
ANKRD46	HLA-G
SEC24D	HLA-G
ERAP2	HLA-G
LILRB2	HLA-G
TRBV7-9	HLA-G
MRC2	RNF4
NOP58	RNF4
DDRGK1	RNF4
TRIM54	RNF4
HSPA5	RNF4
UBC	RNF4
DSP	RNF4
COPB1	RNF4
FASTKD5	RNF4
MCAT	RNF4
APEX1	RNF4
IRS1	RNF4
RPL3	RNF4
ZNF316	RNF4
SKIL	RNF4
ZNF436	RNF4
UBQLN2	RNF4
RPL4	RNF4
LBR	RNF4
DGKE	RNF4
CHAMP1	RNF4
RPA1	RNF4
MYC	RNF4
HIF1AN	RNF4
MCUB	RNF4
HOXA1	RNF4
NDUFA9	RNF4
VIM	RNF4
EI24	RNF4
SSR3	RNF4
ZNF417	RNF4
TAP1	RNF4
FAM9A	RNF4
ZZZ3	RNF4
CEBPZ	RNF4
CKAP5	RNF4
KPNB1	RNF4
STX12	RNF4
RPL23A	RNF4
HMGA1	RNF4
DDX42	RNF4
SLC2A1	RNF4
FNDC3B	RNF4
SLC39A10	RNF4
ANAPC1	RNF4
AMOT	RNF4
CAV1	RNF4
LEMD2	RNF4
SPCS2	RNF4
APOBEC3B	RNF4
RETREG3	RNF4
AR	RNF4
ANTXR1	RNF4
IKBKG	RNF4
SCCPDH	RNF4
RALY	RNF4
BRD4	RNF4
HSPA8	RNF4
SEC61B	RNF4
MYD88	RNF4
GPX1	RNF4
AUP1	RNF4
EIF3I	RNF4
EEF1G	RNF4
ACTC1	RNF4
EIF4G1	RNF4
H1-1	RNF4
TFRC	RNF4
TRAF3	RNF4
TOP2B	RNF4
HSD17B12	RNF4
RPS8	RNF4
SEC22B	RNF4
TRIP6	RNF4
ACTB	RNF4
HAT1	RNF4
ATP5F1B	RNF4
TBRG4	RNF4
EFTUD2	RNF4
RHOXF2	RNF4
MAN1A1	RNF4
GAPDH	RNF4
MAD2L1	RNF4
SP100	RNF4
STT3B	RNF4
UBAP2	RNF4
ZNF460	RNF4
PKMYT1	RNF4
ACSL4	RNF4
PPIA	RNF4
HNRNPCL2	RNF4
RPL36	RNF4
RAD18	RNF4
SIN3A	RNF4
C14orf119	RNF4
RPS3	RNF4
LCE2B	RNF4
ZNF24	RNF4
TMCO1	RNF4
GOLT1B	RNF4
RPL14	RNF4
KPNA2	RNF4
WDR18	RNF4
HSP90B1	RNF4
FAF2	RNF4
ZNF239	RNF4
GHITM	RNF4
IARS1	RNF4
YBX1	RNF4
RSBN1	RNF4
IQSEC1	RNF4
SAFB2	RNF4
ZNF384	RNF4
MAGEA1	RNF4
GEMIN5	RNF4
SLC3A2	RNF4
MFN2	RNF4
PHB2	RNF4
HNRNPA0	RNF4
MARCHF5	RNF4
EMD	RNF4
STT3A	RNF4
IPO7	RNF4
DDX5	RNF4
SDF2L1	RNF4
LETM1	RNF4
SIGMAR1	RNF4
STAT1	RNF4
VAMP3	RNF4
MGAT1	RNF4
NCL	RNF4
ADAM9	RNF4
ZNRD2	RNF4
TAB2	RNF4
HCFC1	RNF4
ZNF263	RNF4
RRM2B	RNF4
PRPF8	RNF4
PTRHD1	RNF4
LAMP2	RNF4
TMEM132A	RNF4
SNRNP200	RNF4
TMEM30A	RNF4
NUP43	RNF4
NOP2	RNF4
RPN1	RNF4
RPL18A	RNF4
TXNDC15	RNF4
UBE2N	RNF4
LRRC59	RNF4
RER1	RNF4
PRNP	RNF4
YY2	RNF4
RAB35	RNF4
UBE2D2	RNF4
TXNDC5	RNF4
MAF	RNF4
RNF149	RNF4
FUT8	RNF4
DHX9	RNF4
RANBP2	RNF4
CAMLG	RNF4
NDUFB5	RNF4
CYB5R3	RNF4
TNKS	RNF4
RPL31	RNF4
MAGEA12	RNF4
NSUN2	RNF4
ATXN1	RNF4
TEX264	RNF4
OMA1	RNF4
MNT	RNF4
LAMC1	RNF4
IGF2R	RNF4
DNAJB2	RNF4
FGFRL1	RNF4
IKZF1	RNF4
ESYT2	RNF4
LCE1D	RNF4
NOL11	RNF4
COPG1	RNF4
ERGIC1	RNF4
PHC1	RNF4
SART1	RNF4
TBP	RNF4
RHOG	RNF4
NFATC2IP	RNF4
CAVIN1	RNF4
IL17RA	RNF4
AFG3L2	RNF4
UBE2I	RNF4
DES	RNF4
CYB5B	RNF4
DCAF13	RNF4
SPCS3	RNF4
COX4I1	RNF4
NIFK	RNF4
POGZ	RNF4
ELAVL1	RNF4
ATF6	RNF4
ZNF281	RNF4
NOC2L	RNF4
RPS10	RNF4
JAGN1	RNF4
PGRMC1	RNF4
CANX	RNF4
STX1A	RNF4
TMEM167A	RNF4
SCD	RNF4
DYRK1A	RNF4
NDUFB8	RNF4
NOP14	RNF4
SOD1	RNF4
ZNF609	RNF4
HEATR1	RNF4
ZNF184	RNF4
VPS35	RNF4
CREB1	RNF4
NDUFS6	RNF4
GPAT4	RNF4
TRAF5	RNF4
PTGFRN	RNF4
GNAI3	RNF4
NOP56	RNF4
MED16	RNF4
MED12	RNF4
NOM1	RNF4
MSMO1	RNF4
UBE2B	RNF4
TAF2	RNF4
RPTOR	RNF4
ARL1	RNF4
BCAP31	RNF4
CLK1	RNF4
NUP188	RNF4
PML	RNF4
DHCR24	RNF4
MAGED1	RNF4
SERPINB3	RNF4
RAB11B	RNF4
KAT14	RNF4
PDS5B	RNF4
MORF4L2	RNF4
YY1	RNF4
AKAP17A	RNF4
FAM241A	RNF4
AGPAT5	RNF4
SF3B4	RNF4
ZNF574	RNF4
SHANK1	RNF4
SOWAHC	RNF4
ZBTB33	RNF4
REXO4	RNF4
RPL21	RNF4
PSMD3	RNF4
RAB18	RNF4
GOLGA5	RNF4
MFN1	RNF4
ATF2	RNF4
H1-2	RNF4
TMX4	RNF4
PTDSS1	RNF4
QPCTL	RNF4
TOP1	RNF4
JAM3	RNF4
RABGGTB	RNF4
DDB2	RNF4
TMEM38B	RNF4
STIM1	RNF4
RBBP7	RNF4
PNN	RNF4
SQLE	RNF4
H1-0	RNF4
